"","UNITID","OPEID","OPEID6","INSTNM","CITY","STABBR","INSTURL","NPCURL","HCM2","PREDDEG","HIGHDEG","CONTROL","LOCALE","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","RELAFFIL","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG","SAT_AVG_ALL","PCIP01","PCIP03","PCIP04","PCIP05","PCIP09","PCIP10","PCIP11","PCIP12","PCIP13","PCIP14","PCIP15","PCIP16","PCIP19","PCIP22","PCIP23","PCIP24","PCIP25","PCIP26","PCIP27","PCIP29","PCIP30","PCIP31","PCIP38","PCIP39","PCIP40","PCIP41","PCIP42","PCIP43","PCIP44","PCIP45","PCIP46","PCIP47","PCIP48","PCIP49","PCIP50","PCIP51","PCIP52","PCIP54","DISTANCEONLY","UGDS","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","UGDS_NRA","UGDS_UNKN","PPTUG_EF","CURROPER","NPT4_PUB","NPT4_PRIV","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","PCTPELL","RET_FT4","RET_FTL4","RET_PT4","RET_PTL4","PCTFLOAN","UG25ABV","MD_EARN_WNE_P10","GT_25K_P6","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","C150_L4_POOLED_SUPP","C150_4_POOLED_SUPP","lat","lng"
"1",100654,100200,1002,"Alabama A & M University","Normal","AL","www.aamu.edu/","www2.aamu.edu/scripts/netpricecalc/npcalc.htm",0,3,4,1,"12","1","0","0","0","0","0","0","0","0","NULL","383","470","360","480","370","457","427","420","414","16","19","14","20","15","18","NULL","NULL","18","17","17","NULL","850","850","0.0446","0.0023","0.0094","0","0","0.0164","0.0634","0","0.1268","0.1432","0.0587","0","0.0188","0","0.0235","0.0423","0","0.1009","0.0094","0","0","0","0","0","0.0188","0","0.0282","0.0282","0.0516","0.0399","0","0","0","0","0.0258","0","0.1479","0","0","4505","0.034","0.9216","0.0058","0.0018","0.0022","0.0018","0","0.0062","0.0266","0.0626",1,"13435","NULL","13075","12458","15857","16022","14646","NULL","NULL","NULL","NULL","NULL","0.7249","0.5779","NULL","0.3077","NULL","0.8159","0.0877","29900","0.453","35000","361.891446885773","0.2458495231","NULL","0.3303",34.733964,-86.522913
"2",100751,105100,1051,"The University of Alabama","Tuscaloosa","AL","www.ua.edu/","financialaid.ua.edu/net-price-calculator/",0,3,4,1,"13","0","0","0","0","0","0","0","0","0","NULL","490","600","490","610","480","600","545","550","540","22","31","22","32","21","29","7","8","27","27","25","8","1181","1181","0","0.0039","0","0.0035","0.107","0","0.0067","0","0.0696","0.0788","0","0.0071","0.0714","0","0.0164","0","0","0.0378","0.0083","0","0.0256","0","0.0041","0","0.0095","0","0.035","0.0286","0.0102","0.0364","0","0","0","0","0.0295","0.1065","0.2886","0.0155","0","31005","0.7807","0.1092","0.0399","0.0113","0.0035","0.0009","0.0271","0.0245","0.0029","0.0825",1,"20575","NULL","17263","19279","21309","22594","23599","NULL","NULL","NULL","NULL","NULL","0.2009","0.8647","NULL","0.4667","NULL","0.4059","0.081","42700","0.695","23750","245.56919610106","0.5911430119","NULL","0.6638",33.170238,-87.616169
"3",100858,100900,1009,"Auburn University","Auburn","AL","www.auburn.edu","www.auburn.edu/admissions/money-matters.html",0,3,4,1,"13","0","0","0","0","0","0","0","0","0","NULL","530","630","540","650","520","620","580","595","570","24","30","25","32","23","28","7","8","27","29","26","8","1218","1218","0.0433","0.0152","0.0175","0","0.0533","0","0.0066","0","0.0939","0.1741","0","0.0135","0.0331","0","0.0155","0","0","0.0873","0.0091","0","0.0223","0","0.0015","0","0.0135","0","0.0329","0","0.0214","0.0407","0","0","0","0","0.0367","0.0575","0.1989","0.0122","0","21551","0.842","0.0671","0.0323","0.025","0.0063","0.0001","0.0057","0.0131","0.0085","0.0894",1,"22183","NULL","17216","19189","22210","24383","25805","NULL","NULL","NULL","NULL","NULL","0.1631","0.898","NULL","0.6923","NULL","0.347","0.0427","47100","0.741","21500","222.304745944118","0.731666973","NULL","0.7188",32.547542,-85.468222
"4",101189,100300,1003,"Faulkner University","Montgomery","AL","www.faulkner.edu","www.faulkner.edu/net-price-calculator-form/",0,3,4,2,"12","0","1","0","0","0","0","0","0","0","74","430","520","440","510","430","510","475","475","470","18","24","18","24","16","23","NULL","NULL","21","21","20","NULL","985","985","0","0","0","0","0","0","0.0112","0","0.0412","0","0","0","0","0.015","0.015","0.03","0","0.0112","0.0037","0","0","0.0318","0","0.0094","0","0","0.0206","0.1592","0","0.0075","0","0","0","0","0.0225","0.0412","0.5768","0.0037","0","2282","0.3996","0.5079","0.0241","0.0026","0.0061","0.0026","0.0193","0.0215","0.0162","0.2244",1,"NULL","23970","NULL","NULL","NULL","NULL","NULL","23712","25216","24682","23567","21981","0.5596","0.5669","NULL","0.5","NULL","0.7105","0.4353","35900","0.614","21750","224.889684850445","0.3014899211","NULL","0.2553",32.356988,-86.257817
"5",101453,2199700,21997,"Heritage Christian University","Florence","AL","www.hcu.edu","www.hcu.edu/netpricecalculator/",0,3,4,2,"13","0","0","0","0","0","0","0","0","0","74","380","660","400","610","300","560","520","505","430","14","17","11","16","16","17","11","12","16","14","17","12","848","848","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58","0.7586","0.1552","0.0172","0","0.0345","0","0.0172","0.0172","0","0.4655",1,"NULL","11194","NULL","NULL","NULL","NULL","NULL","11464","10925","NULL","NULL","NULL","0.5806","0","NULL","NULL","NULL","0.3226","0.5862","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed",34.82298,-87.661652
"6",101587,102400,1024,"University of West Alabama","Livingston","AL","www.uwa.edu","secure.uwa.edu/calculator/npcalc.htm",0,3,4,1,"43","0","1","0","0","0","0","0","0","0","NULL","430","530","360","560","420","530","480","460","475","18","21","18","22","19","20","NULL","NULL","20","20","20","NULL","930","930","0","0","0","0","0.0571","0","0","0","0.1878","0","0.0245","0","0","0","0.0122","0","0","0.0776","0.0286","0","0.0163","0.0449","0","0","0.0163","0","0.0367","0","0","0.0204","0","0.0245","0","0","0","0.2","0.2286","0.0245","0","1913","0.4511","0.4004","0.0225","0.0026","0.0016","0.0016","0.0183","0.0633","0.0387","0.1093",1,"12733","NULL","10626","11313","14450","14599","14637","NULL","NULL","NULL","NULL","NULL","0.5343","0.6637","NULL","0","NULL","0.6826","0.1436","36200","0.503","26489","273.889786758778","0.361612515","NULL","0.3099",32.5843,-88.18725
"7",101709,100400,1004,"University of Montevallo","Montevallo","AL","www.montevallo.edu","www.montevallo.edu/admissions/undergraduate-admissions/financial-aid/net-price-calculator/",0,3,4,1,"21","0","0","0","0","0","0","0","0","0","NULL","455","595","475","580","470","585","525","528","528","20","26","21","28","18","24","NULL","NULL","23","25","21","NULL","1069","1069","0","0","0","0","0.0533","0","0","0","0.06","0","0","0.0333","0.0333","0","0.1033","0","0","0.0433","0.0233","0","0","0.06","0","0","0.0233","0","0.0867","0","0.03","0.0367","0","0","0","0","0.14","0.0933","0.13","0.05","0","2553","0.7164","0.1492","0.0372","0.0078","0.0051","0","0.0247","0.0141","0.0454","0.0995",1,"16885","NULL","14436","15186","17994","19582","19811","NULL","NULL","NULL","NULL","NULL","0.4058","0.7698","NULL","0.6","NULL","0.5755","0.1092","33100","0.553","23383","241.774505786572","0.5227475468","NULL","0.4454",33.136658,-86.883586
"8",102049,103600,1036,"Samford University","Birmingham","AL","www.samford.edu","https://samford.studentaidcalculator.com/welcome.aspx",0,3,4,2,"21","0","0","0","0","0","0","0","0","0","54","500","610","490","610","500","610","555","550","555","23","29","23","31","21","27","NULL","NULL","26","27","24","NULL","1162","1162","0","0.0052","0","0.0013","0.0762","0","0.0116","0","0.0465","0.0039","0","0.022","0.0568","0.0323","0.0155","0.0039","0","0.0362","0.0103","0","0.0013","0.0724","0.0233","0.0026","0.0026","0","0.0336","0","0.0078","0.0181","0","0","0","0","0.053","0.3114","0.1305","0.022","0","3145","0.8143","0.069","0.0521","0.0108","0.0032","0","0.0165","0.0286","0.0054","0.035",1,"NULL","27065","NULL","NULL","NULL","NULL","NULL","21312","24845","25704","29046","30462","0.1373","0.8887","NULL","0.5","NULL","0.3287","0.0518","46300","0.738","22500","232.644501569425","0.7692307692","NULL","0.701",33.520661,-86.80249
"9",102094,105700,1057,"University of South Alabama","Mobile","AL","www.southalabama.edu","instresrch.usouthal.edu/npc/",0,3,4,1,"12","0","0","0","0","0","0","0","0","0","NULL","430","560","430","540","440","560","495","485","500","20","25","20","26","18","25","6","8","23","23","22","7","1045","1045","0","0","0","0","0.0421","0","0.0374","0","0.1007","0.0665","0","0.0083","0","0","0.0151","0","0","0.0493","0.0057","0","0.0415","0.0161","0.0036","0","0.0161","0","0.0343","0.0327","0.0166","0.0249","0","0","0","0","0.0286","0.3276","0.1199","0.013","0","11379","0.5896","0.2432","0.0279","0.0324","0.0067","0.0013","0.0279","0.0507","0.0203","0.1763",1,"15204","NULL","12171","12949","16612","19149","19654","NULL","NULL","NULL","NULL","NULL","0.4003","0.7296","NULL","0.5263","NULL","0.5745","0.1992","37000","0.623","24500","253.324012820041","0.4480568012","NULL","0.3708",30.701142,-88.103184
"10",102261,2270400,22704,"Southeastern Bible College","Birmingham","AL","sebc.edu/","sebc.edu/net-price-calculator/",0,3,3,2,"21","0","0","0","0","0","0","0","0","0","NULL","620","680","440","630","540","580","650","535","560","18","25","19","27","15","26","NULL","NULL","22","23","21","NULL","1045","1045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","151","0.5828","0.3576","0.0265","0","0.0132","0","0","0.0066","0.0132","0.2781",1,"NULL","13975","NULL","NULL","NULL","NULL","NULL","12861","14901","NULL","NULL","18988","0.5549","0.5455","NULL","1","NULL","0.7572","0.596","31600","0.549","22740.5","235.131212797312","0.2888888889","NULL","0.2245",33.520661,-86.80249
